"Raw88","Raw87","Raw86","Raw85","Raw84","Raw83","CycleSecs","distance","Sr88","Net87","Sr86","Rb85","Net84","Kr83","Sr8688","Sr8488","Sr8486","Rb85Sr88","MbFactor","Rb87","Sr87","Sr87Sr88","Net87Sr86","Sr87Sr86","totalSr","region","MA","MAp2SE","MAm2SE","Comment","TrimLeft","TrimRight","Sample_ID"
3.493385,0.2845058,0.3958791,-0.00475758,0.01822842,-0.005715271,146.4,66,3.5,0.29104,0.40398,0.00023,0.02283,0.00017,0.11502,0.0065,0.05652,6e-05,-1.62621,9e-05,0.29095,0.08284,0.72043,0.7078,4.22992,"none",0.70766,0.70774,0.70759,"Comment",500,-1,"fish1"
3.465721,0.2828974,0.3931503,-0.004500862,0.01811044,-0.005844173,146.6,68,3.5,0.28943,0.40125,0.00048,0.02272,4e-05,0.11515,0.00652,0.05661,0.00014,-1.57702,0.00019,0.28923,0.08301,0.72132,0.7075,4.19769,"none",0.70767,0.70775,0.7076,"Comment",500,-1,"fish1"
3.57991,0.2925962,0.4067033,-0.004523699,0.01884341,-0.005802001,146.8,70,3.6,0.29913,0.4148,0.00046,0.02345,8e-05,0.11526,0.00652,0.05653,0.00013,-1.53461,0.00018,0.29894,0.08307,0.72113,0.70755,4.33588,"none",0.70767,0.70774,0.70759,"Comment",500,-1,"fish1"
3.466307,0.2824582,0.3928314,-0.004666908,0.01792141,-0.005980439,147,72,3.5,0.28899,0.40093,0.00032,0.02253,-1e-04,0.11504,0.00646,0.05619,9e-05,-1.61895,0.00013,0.28886,0.08289,0.7208,0.70787,4.1974,"none",0.70765,0.70774,0.70756,"Comment",500,-1,"fish1"
3.625187,0.2963318,0.4120315,-0.004724417,0.01927906,-0.005602488,147.2,74,3.6,0.30286,0.42013,0.00026,0.02388,0.00028,0.11529,0.00655,0.05685,7e-05,-1.52328,1e-04,0.30276,0.08308,0.72088,0.70767,4.39073,"none",0.70764,0.70773,0.70755,"Comment",500,-1,"fish1"
3.657434,0.2989105,0.4150928,-0.00472706,0.01925998,-0.005885608,147.4,76,3.7,0.30544,0.42319,0.00026,0.02387,0,0.11512,0.00649,0.05639,7e-05,-1.59076,1e-04,0.30534,0.08306,0.72176,0.70754,4.4286,"none",0.70764,0.70773,0.70755,"Comment",500,-1,"fish1"
3.58966,0.2928862,0.4075634,-0.004355604,0.01910873,-0.005937811,147.6,78,3.6,0.29942,0.41566,0.00063,0.02371,-5e-05,0.11519,0.00657,0.05705,0.00017,-1.56222,0.00025,0.29917,0.08291,0.72034,0.70774,4.34698,"none",0.70765,0.70774,0.70757,"Comment",500,-1,"fish1"
3.513574,0.2866642,0.3989507,-0.004778214,0.01812193,-0.005728252,147.8,80,3.5,0.29319,0.40705,2e-04,0.02273,0.00015,0.11523,0.00643,0.05583,6e-05,-1.54599,8e-05,0.29311,0.08298,0.72029,0.70763,4.25524,"none",0.70768,0.70776,0.7076,"Comment",500,-1,"fish1"
3.605444,0.2946868,0.4097074,-0.004746469,0.01888299,-0.005805427,148.2,84,3.6,0.30122,0.4178,0.00024,0.02349,8e-05,0.11528,0.00648,0.05622,7e-05,-1.52826,9e-05,0.30112,0.08309,0.72095,0.70743,4.36663,"none",0.70769,0.70779,0.70759,"Comment",500,-1,"fish1"
3.498281,0.2853696,0.3967178,-0.004609241,0.01826956,-0.005831995,148.4,86,3.5,0.2919,0.40481,0.00037,0.02287,5e-05,0.1151,0.0065,0.05651,0.00011,-1.59657,0.00015,0.29175,0.08295,0.72107,0.70767,4.2365,"none",0.70773,0.70785,0.70761,"Comment",500,-1,"fish1"
